,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Is_New_Customer,Is_Month_to_Month,High_Monthly_Charge,Fiber_Monthly_Risk,New_High_Spend,New_Monthly_Customer,Support_Service_Count,Security_Tech_Bundle
Streaming TV,0.10537766784282443,0.12466580056491713,-0.05771698740499047,0.27975608223591575,-0.02257359179493685,0.25715163510824757,0.17620730704239457,0.2821064219717711,0.3908740269195827,0.27807020363725476,1.0,0.5330938326943185,0.22384098246010306,0.0721605022317982,0.6296031609781654,0.5149734780630081,0.06322774611875864,-0.22030752477036825,-0.11228242714593085,0.5134480391159645,0.11575037075456722,0.0419618872094496,-0.19657116290300744,0.4084960456873223,0.18386491477948463
Streaming Movies,0.12017625118896594,0.11741185447194508,-0.07336420883137078,0.28611058777846204,-0.032958892364780834,0.25875149199377917,0.1873983309262497,0.2745012019605013,0.40211053776617356,0.2793584789284251,0.5330938326943185,1.0,0.21171599176513117,0.08092190736773404,0.6274288843898592,0.5201217821008542,0.0613815480151869,-0.22229996771667623,-0.11663335681857953,0.5087800042524729,0.1088561356768477,0.03741686537413965,-0.20016739444789725,0.4142217279825018,0.19728130326881918
Paperless Billing,0.15652955931117316,-0.01487662228789139,-0.11896345342208933,0.006152481598270217,0.016504805732570422,0.1635301742129282,-0.00363589714847452,0.12673537300697296,0.1037968049815421,0.037879900207281145,0.22384098246010306,0.21171599176513117,1.0,-0.02490910482358851,0.3521499677959875,0.15857437033154423,0.1918253316664706,-0.005365267193620861,0.16909644687222172,0.2935608483137233,0.2697798583687507,0.13600341089918788,0.03278138802525558,0.09721344315383937,-0.025357238083363026
Payment Method,-0.03351965273377642,0.16047508253828444,0.07455308899896812,0.3966255537966342,-0.00010435734464750814,0.11287195869251088,0.1754694330612649,0.14796470355281185,0.16196109362805206,0.18184303247535988,0.0721605022317982,0.08092190736773404,-0.02490910482358851,1.0,0.06108583107919763,0.30704232257086395,-0.20990206359132743,-0.3080239875693596,-0.3194261506688469,0.04347853156812284,-0.19107212336387572,-0.18175428154071854,-0.29815233188087437,0.24024477850688752,0.18827121905109695
Monthly Charges,0.22017333857627225,0.09684793625647468,-0.14420592087696438,0.24789985628614994,0.24739796321413535,0.49043396944002876,0.2965941920005662,0.441780094359475,0.48269204827329604,0.3383042642201546,0.6296031609781654,0.6274288843898592,0.3521499677959875,0.06108583107919763,1.0,0.6511738315787847,0.19335642223784827,-0.19318036486634788,0.0601653271277375,0.8583085350112254,0.4867964969166365,0.23083867334325756,-0.13667753218732043,0.5649236042086634,0.23882293043241057
Total Charges,0.10300618407952568,0.3175040180528827,0.030589709272461147,0.826178397950243,0.11321354444457549,0.4685038161636612,0.41165052665218427,0.5092260122231456,0.5219828797812002,0.4318827713274981,0.5149734780630081,0.5201217821008542,0.15857437033154423,0.30704232257086395,0.6511738315787847,1.0,-0.19832426260399458,-0.5932896836085066,-0.44425490807683315,0.5338473849979801,-0.08999784595972826,-0.2979844905243577,-0.5553520667987277,0.6777807184932427,0.3973734832643744
Churn Value,0.15088932817647407,-0.15044754495917692,-0.24854222642328383,-0.352228670113079,0.011941980029006627,0.04010212769982595,-0.171226291948553,-0.08225486893814218,-0.06615979128029065,-0.16467355590159374,0.06322774611875864,0.0613815480151869,0.1918253316664706,-0.20990206359132743,0.19335642223784827,-0.19832426260399458,1.0,0.31758007220202267,0.40510291068799237,0.1947693291804572,0.4182920551078244,0.3490268680426395,0.3532240877834753,-0.1730610610216499,-0.17070702867976514
Is_New_Customer,-0.028686587296101455,-0.3027181261076751,-0.11430851367330316,-0.7550672224012673,-0.007597855093575561,-0.2629502797239438,-0.24137094634477718,-0.2665951736752328,-0.2731272155610815,-0.23762202396427706,-0.22030752477036825,-0.22229996771667623,-0.005365267193620861,-0.3080239875693596,-0.19318036486634788,-0.5932896836085066,0.31758007220202267,1.0,0.4881472524391291,-0.1594483070679625,0.17077113089853907,0.5462999595093496,0.9367395664845297,-0.36793476126163704,-0.21743206394689005
Is_Month_to_Month,0.13836046440264307,-0.2808652261083152,-0.17549600603625534,-0.6455614232660691,-0.0007424302790401404,-0.08820313233782136,-0.24667886763136143,-0.16417233309254106,-0.22566200253940216,-0.285241310295562,-0.11228242714593085,-0.11663335681857953,0.16909644687222172,-0.3194261506688469,0.0601653271277375,-0.44425490807683315,0.40510291068799237,0.4881472524391291,1.0,0.06286163850771598,0.5949504313951548,0.31548161600430785,0.5682201424600166,-0.3312403669177014,-0.3143275147546172
High_Monthly_Charge,0.2115564595606657,0.0828490532457115,-0.12604296580294932,0.19582634402073507,0.327670848687508,0.4792388882652528,0.15622783291490047,0.3122326871198446,0.3563883668819261,0.20038739263016234,0.5134480391159645,0.5087800042524729,0.2935608483137233,0.04347853156812284,0.8583085350112254,0.5338473849979801,0.1947693291804572,-0.1594483070679625,0.06286163850771598,1.0,0.5622937830630815,0.36623840078267794,-0.11453504769587217,0.37247374651948256,0.13702586410725143
Fiber_Monthly_Risk,0.24408156590044988,-0.11626394636485181,-0.19704436086225655,-0.2898071537535459,0.21545349343001402,0.19993783055132458,-0.17506759249492684,-0.027261609380670987,-0.035667919599523985,-0.19456259870797163,0.11575037075456722,0.1088561356768477,0.2697798583687507,-0.19107212336387572,0.4867964969166365,-0.08999784595972826,0.4182920551078244,0.17077113089853907,0.5949504313951548,0.5622937830630815,1.0,0.5177535669962469,0.2151874388284276,-0.15338329003164541,-0.21306373760752356
New_High_Spend,0.07602936856024924,-0.17310927315576435,-0.13310431897820513,-0.40653521658342895,0.1200056476064164,0.03131118858193561,-0.132241473090344,-0.10043048274387939,-0.06920273159429169,-0.12687895695573112,0.0419618872094496,0.03741686537413965,0.13600341089918788,-0.18175428154071854,0.23083867334325756,-0.2979844905243577,0.3490268680426395,0.5462999595093496,0.31548161600430785,0.36623840078267794,0.5177535669962469,1.0,0.5656351620665527,-0.15386763905808776,-0.1248954804620646
New_Monthly_Customer,-0.004549555117522304,-0.3122963991752032,-0.13731246941412814,-0.7138664308919477,9.215038312545836e-05,-0.23557678806022464,-0.23390585873838676,-0.2464478040201823,-0.25857164328066196,-0.2331057132158212,-0.19657116290300744,-0.20016739444789725,0.03278138802525558,-0.29815233188087437,-0.13667753218732043,-0.5553520667987277,0.3532240877834753,0.9367395664845297,0.5682201424600166,-0.11453504769587217,0.2151874388284276,0.5656351620665527,1.0,-0.35090310293558924,-0.21724455798489595
Support_Service_Count,0.011562366044031902,0.20165228613972014,0.020886251632011313,0.49555663924338483,-0.1122407997412079,0.2189020101241846,0.6831294588169577,0.684966751547545,0.695624442133844,0.7091661260594835,0.4084960456873223,0.4142217279825018,0.09721344315383937,0.24024477850688752,0.5649236042086634,0.6777807184932427,-0.1730610610216499,-0.36793476126163704,-0.3312403669177014,0.37247374651948256,-0.15338329003164541,-0.15386763905808776,-0.35090310293558924,1.0,0.6716757001886177
Security_Tech_Bundle,-0.058594590253261865,0.1332189871584008,0.052096460661995206,0.3345761061111632,-0.08147085960863139,0.0819196765453681,0.6782910735973051,0.2551490588743941,0.2759921968656393,0.6724508834388847,0.18386491477948463,0.19728130326881918,-0.025357238083363026,0.18827121905109695,0.23882293043241057,0.3973734832643744,-0.17070702867976514,-0.21743206394689005,-0.3143275147546172,0.13702586410725143,-0.21306373760752356,-0.1248954804620646,-0.21724455798489595,0.6716757001886177,1.0
